DATE,RRVRUSQ156N
1/1/56,6.2
4/1/56,5.9
7/1/56,6.3
10/1/56,5.8
1/1/57,5.3
4/1/57,5.3
7/1/57,5.7
10/1/57,5.8
1/1/58,6.3
4/1/58,6.5
7/1/58,6.3
10/1/58,6.6
1/1/59,6.8
4/1/59,7.3
7/1/59,7.2
10/1/59,7
1/1/60,8
4/1/60,8
7/1/60,8.3
10/1/60,8.4
1/1/61,8.9
4/1/61,8.8
7/1/61,8.6
10/1/61,8.5
1/1/62,8.5
4/1/62,8.1
7/1/62,8
10/1/62,8.1
1/1/63,8
4/1/63,8.2
7/1/63,8.3
10/1/63,8.3
1/1/64,8.1
4/1/64,8.1
7/1/64,8.4
10/1/64,8.3
1/1/65,8.5
4/1/65,8.2
7/1/65,7.8
10/1/65,8.5
1/1/66,8.3
4/1/66,7.4
7/1/66,7.4
10/1/66,7.7
1/1/67,7.3
4/1/67,6.9
7/1/67,7
10/1/67,6.2
1/1/68,6.1
4/1/68,6.2
7/1/68,5.9
10/1/68,5.4
1/1/69,5.6
4/1/69,5.7
7/1/69,5.5
10/1/69,5.1
1/1/70,5.4
4/1/70,5.4
7/1/70,5.3
10/1/70,5.2
1/1/71,5.3
4/1/71,5.3
7/1/71,5.6
10/1/71,5.6
1/1/72,5.3
4/1/72,5.5
7/1/72,5.8
10/1/72,5.6
1/1/73,5.7
4/1/73,5.8
7/1/73,5.8
10/1/73,5.8
1/1/74,6.2
4/1/74,6.3
7/1/74,6.2
10/1/74,6
1/1/75,6.1
4/1/75,6.3
7/1/75,6.2
10/1/75,5.4
1/1/76,5.5
4/1/76,5.8
7/1/76,5.7
10/1/76,5.3
1/1/77,5.1
4/1/77,5.3
7/1/77,5.4
10/1/77,5.1
1/1/78,5
4/1/78,5.1
7/1/78,5
10/1/78,5
1/1/79,5.1
4/1/79,5.5
7/1/79,5.7
10/1/79,5.4
1/1/80,5.2
4/1/80,5.6
7/1/80,5.7
10/1/80,5
1/1/81,5.2
4/1/81,5
7/1/81,5
10/1/81,5
1/1/82,5.3
4/1/82,5.1
7/1/82,5.3
10/1/82,5.5
1/1/83,5.7
4/1/83,5.5
7/1/83,5.8
10/1/83,5.5
1/1/84,5.6
4/1/84,5.5
7/1/84,6
10/1/84,6.3
1/1/85,6.3
4/1/85,6.2
7/1/85,6.8
10/1/85,6.7
1/1/86,6.9
4/1/86,7.3
7/1/86,7.5
10/1/86,7.7
1/1/87,7.4
4/1/87,7.5
7/1/87,8.1
10/1/87,7.8
1/1/88,8
4/1/88,7.7
7/1/88,7.8
10/1/88,7.3
1/1/89,7.5
4/1/89,7.4
7/1/89,7.6
10/1/89,7.1
1/1/90,7.5
4/1/90,7
7/1/90,7.2
10/1/90,7.2
1/1/91,7.5
4/1/91,7.3
7/1/91,7.6
10/1/91,7.3
1/1/92,7.4
4/1/92,7.7
7/1/92,7.3
10/1/92,7.1
1/1/93,7.8
4/1/93,7.6
7/1/93,7
10/1/93,6.9
1/1/94,7.5
4/1/94,7.4
7/1/94,7.2
10/1/94,7.4
1/1/95,7.4
4/1/95,7.7
7/1/95,7.7
10/1/95,7.7
1/1/96,7.9
4/1/96,7.8
7/1/96,8
10/1/96,7.7
1/1/97,7.5
4/1/97,7.9
7/1/97,7.9
10/1/97,7.7
1/1/98,7.7
4/1/98,8
7/1/98,8.2
10/1/98,7.8
1/1/99,8.2
4/1/99,8.1
7/1/99,8.2
10/1/99,7.9
1/1/00,7.9
4/1/00,8
7/1/00,8.2
10/1/00,7.8
1/1/01,8.2
4/1/01,8.3
7/1/01,8.4
10/1/01,8.8
1/1/02,9.1
4/1/02,8.4
7/1/02,9
10/1/02,9.3
1/1/03,9.4
4/1/03,9.6
7/1/03,9.9
10/1/03,10.2
1/1/04,10.4
4/1/04,10.2
7/1/04,10.1
10/1/04,10
1/1/05,10.1
4/1/05,9.8
7/1/05,9.9
10/1/05,9.6
1/1/06,9.5
4/1/06,9.6
7/1/06,9.9
10/1/06,9.8
1/1/07,10.1
4/1/07,9.5
7/1/07,9.8
10/1/07,9.6
1/1/08,10.1
4/1/08,10
7/1/08,9.9
10/1/08,10.1
1/1/09,10.1
4/1/09,10.6
7/1/09,11.1
10/1/09,10.7
1/1/10,10.6
4/1/10,10.6
7/1/10,10.3
10/1/10,9.4
1/1/11,9.7
4/1/11,9.2
7/1/11,9.8
10/1/11,9.4
1/1/12,8.8
4/1/12,8.6
7/1/12,8.6
10/1/12,8.7
1/1/13,8.6
4/1/13,8.2
7/1/13,8.3
10/1/13,8.2
1/1/14,8.3
4/1/14,7.5
7/1/14,7.4
10/1/14,7
1/1/15,7.1
4/1/15,6.8
7/1/15,7.3
10/1/15,7
1/1/16,7
4/1/16,6.7
7/1/16,6.8
10/1/16,6.9
1/1/17,7
4/1/17,7.3
7/1/17,7.5
10/1/17,6.9
1/1/18,7
4/1/18,6.8
7/1/18,7.1
10/1/18,6.6
1/1/19,7
4/1/19,6.8